type,title,author,year,latitude,longitude,image_name
Escultura,EL TRABAJO,JUSTO AROSEMENA,1980 - 1985,6.236491,-75.603011,justoarosemena_eltrabajo.png
Escultura,EL BOTELLON,SALVADOR ARANGO,1990,6.238463,-75.606300,salvadorarango_elbotellon.png
Escultura,PYLLAR,RONNY VAYDA,1990,6.187117,-75.559685,ronnyvayda_pyllar.png
Escultura,ENCUENTROS EN EL TIEMPO - ESPACIO,HUMBERTO ELIAS VELEZ ESCOBAR,1985,6.250645,-75.617792,humbertoeliazvelezescobar_encuentroseneltiempoespacio.png
Escultura,SOLO CON GUARDA ESPALDA,ION MURESANU,1981,6.242601,-75.608643,ionmuresanu_soloconguardaespalda.png
Escultura,BEN HUR,ALFONSO GOEZ,1940,6.241550,-75.592913,alfonsogoez_benhur.png
Escultura,OVALO AUREO,RONNY VAYDA,1989,6.203080,-75.574517,ronnyvayda_ovaloaureo.png
Escultura,HOMENAJE A LA AMISTAD,ALONSO RIOS VANEGAS,1985,6.203371,-75.571881,alonsoriosvanegas_homenajealaamistad.png
Escultura,JUGANDO CON EL VIENTO,JUSTO AROSEMENA,1985,6.203243,-75.571934,justoarosemena_jugandoconelviento.png
Escultura,FUENTE,AUGUSTO GONZALEZ Y CIA. ARQ.,1985,6.203104,-75.571967,augustogonzalezyciarquitectos_fuente.png
Escultura,LA FLORA,MIGUEL ANGEL BETANCUR,1985,6.203029,-75.572010,miguelangelbetancur_laflora.png
Escultura,SERIES,RONNY VAYDA,1987,6.201205,-75.574601,ronnyvayda_series.png
Escultura,A LA RUEDA RUEDA,JUSTO AROSEMENA,1986,6.201127,-75.575304,justoarosemena_alaruedarueda.png
Escultura,LOS ARRIEROS,JUSTO AROSEMENA,1981,6.211953,-75.569954,justoarosemena_losarrieros.png
